AMOUNT_REQ;case:concept:name;concept:name;org:resource;timesincemidnight;timesincelastevent;timesincecasestart;event_nr;month;weekday;hour;open_cases;time:timestamp;execution_time_minutes
20000;173688;A_SUBMITTED;112;38;0.0;0.0;1;10;5;0;1;2011-10-01 00:38:44.546000+00:00;17878.874666666667
20000;173688;A_PARTLYSUBMITTED;112;38;0.005566666666666667;0.005566666666666667;2;10;5;0;1;2011-10-01 00:38:44.880000+00:00;17878.874666666667
20000;173688;A_PREACCEPTED;112;39;0.8837666666666667;0.8893333333333333;3;10;5;0;1;2011-10-01 00:39:37.906000+00:00;17878.874666666667
20000;173688;A_ACCEPTED;10862;702;663.0900333333334;663.9793666666667;4;10;5;11;6;2011-10-01 11:42:43.308000+00:00;17878.874666666667
20000;173688;O_SELECTED;10862;705;2.4322500000000002;666.4116166666666;5;10;5;11;6;2011-10-01 11:45:09.243000+00:00;17878.874666666667
20000;173688;A_FINALIZED;10862;705;0.0;666.4116166666666;6;10;5;11;6;2011-10-01 11:45:09.243000+00:00;17878.874666666667
20000;173688;O_CREATED;10862;705;0.03256666666666667;666.4441833333333;7;10;5;11;6;2011-10-01 11:45:11.197000+00:00;17878.874666666667
20000;173688;O_SENT;10862;705;0.0030499999999999998;666.4472333333334;8;10;5;11;6;2011-10-01 11:45:11.380000+00:00;17878.874666666667
20000;173688;W_Completeren aanvraag;0;705;0.04228333333333333;666.4895166666666;9;10;5;11;6;2011-10-01 11:45:13.917000+00:00;17878.874666666667
20000;173688;W_Nabellen offertes;0;737;31.916783333333335;698.4063;10;10;5;12;6;2011-10-01 12:17:08.924000+00:00;17878.874666666667
20000;173688;W_Nabellen offertes;10913;992;10334.866033333334;11033.272333333332;11;10;5;16;260;2011-10-08 16:32:00.886000+00:00;17878.874666666667
20000;173688;O_SENT_BACK;11049;693;2581.046366666667;13614.3187;12;10;0;11;295;2011-10-10 11:33:03.668000+00:00;17878.874666666667
20000;173688;W_Nabellen offertes;11049;693;0.035383333333333336;13614.354083333334;13;10;0;11;295;2011-10-10 11:33:05.791000+00:00;17878.874666666667
20000;173688;A_REGISTERED;10629;637;4264.390583333333;17878.744666666666;14;10;3;10;358;2011-10-13 10:37:29.226000+00:00;17878.874666666667
20000;173688;A_APPROVED;10629;637;0.0;17878.744666666666;15;10;3;10;358;2011-10-13 10:37:29.226000+00:00;17878.874666666667
20000;173688;O_ACCEPTED;10629;637;0.0;17878.744666666666;16;10;3;10;358;2011-10-13 10:37:29.226000+00:00;17878.874666666667
20000;173688;A_ACTIVATED;10629;637;0.0;17878.744666666666;17;10;3;10;358;2011-10-13 10:37:29.226000+00:00;17878.874666666667
20000;173688;W_Valideren aanvraag;10629;637;0.13;17878.874666666667;18;10;3;10;357;2011-10-13 10:37:37.026000+00:00;17878.874666666667
5000;173691;A_SUBMITTED;112;488;0.0;0.0;1;10;5;8;2;2011-10-01 08:08:58.256000+00:00;13328.606283333333
5000;173691;A_PARTLYSUBMITTED;112;489;0.06565;0.06565;2;10;5;8;2;2011-10-01 08:09:02.195000+00:00;13328.606283333333
5000;173691;A_PREACCEPTED;112;489;0.9075500000000001;0.9732000000000001;3;10;5;8;2;2011-10-01 08:09:56.648000+00:00;13328.606283333333
